italian_name,n_sources,sources,latin_names
alloro,2,matthioli_1568; manual_curated,LAURUS nobilis
artemisia,2,matthioli_1568; manual_curated,ARTEMISIA vulgaris
assenzio,2,matthioli_1568; manual_curated,ARTEMISIA absinthium
atriplice,2,matthioli_1568; manual_curated,ATRIPLEX hortensis
ballote,2,matthioli_1568; targioni_1858,AVICENNIA BaLLOTA nigrti
barba di becco,2,matthioli_1568; targioni_1858,TRAGOPOGON porrifolius
bardana,2,targioni_1858; matthioli_1568,ARCTIUM lappa
basalicò,2,veneto_xv; manual_curated,OCIMUM basilicum
botri,2,matthioli_1568; targioni_1858,CHENOPODIUM Botry.s
calamento,2,matthioli_1568; targioni_1858,MELISSA Calamintha
calendula,2,matthioli_1568; manual_curated,CALENDULA officinalis
camomilla,2,matthioli_1568; manual_curated,MATRICARIA chamomilla; ANTHEMIS nobilis
canapa,2,targioni_1858; matthioli_1568,CANNABIS sativa
canella,2,veneto_xv; manual_curated,CINNAMOMUM verum
cardo,2,matthioli_1568; targioni_1858,"CASTANEAE vescae, echinus; CYNARA Cardunculus; DIPSACUS fullonum; PAGI Castancae . L. Echinus"
centaurea,2,matthioli_1568; manual_curated,CENTAURIUM erythraea
cicerbita,2,matthioli_1568; targioni_1858,"SONCHUS SONCHUStenerrimas; SONCHUS oleraceus; SONCHUS oleraceus, laevis"
cipresso,2,matthioli_1568; manual_curated,CUPRESSUS sempervirens
circea,2,matthioli_1568; targioni_1858,CIRCAEA lutctiana
consolida,2,targioni_1858; matthioli_1568,CIBO 42 CONSOLIDA; DAUCUS |; SYMPHYTUM officinale
croco,2,matthioli_1568; targioni_1858,CROCUS sativus
cumino,2,matthioli_1568; manual_curated,CUMINUM cyminum
dragoncello,2,matthioli_1568; manual_curated,ARTEMISIA dracunculus
edera,2,matthioli_1568; manual_curated,HEDERA helix
eliotropio,2,matthioli_1568; manual_curated,HELIOTROPIUM europaeum
endego,2,veneto_xv; manual_curated,INDIGOFERA tinctoria
enula,2,matthioli_1568; manual_curated,INULA helenium
erba luisa,2,toscano_xv; manual_curated,ALOYSIA citriodora
erba morella,2,matthioli_1568; manual_curated,SOLANUM nigrum
ferola,2,matthioli_1568; targioni_1858,FERULA communi
garoffano,2,veneto_xv; manual_curated,SYZYGIUM aromaticum
garofolo,2,veneto_xv; manual_curated,DIANTHUS caryophyllus
genziana,2,matthioli_1568; manual_curated,GENTIANA lutea
